"job_title","job_description","requirements","benefits","employment_type","required_experience","required_education","job_function","industry","job_id_or_ref_code","posting_date","expiration_date","company_name","company_profile","company_website","company_size","company_type","company_founded_year","company_social_media_links__-","job_location","interview_location","remote_status","relocation_assistance","application_link_or_email","application_method_type","response_time_claimed","application_deadline","recruiter_name_or_agency","recruiter_contact_info","hiring_manager_name","salary_info_raw","stock_options","relocation_package","job_posting_source","number_of_positions","logo_present","attachments__-","posting_frequency","posting_consistency","external_reviews_available","profile_photos_included","is_real"
"HR Associate","Work-from-home HR associate role. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Basic HR knowledge, Smartphone with internet","Work from home, Flexible hours","Part-time","0-2 years","","Human Resources","","","2025-04-21","","HREasy Solutions","","","","","","https://wa.link/hrassociate456","Remote","","Remote","False","https://wa.link/hrassociate456","WhatsApp","Within 24 hours","","Priya Gupta","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"Copy Paste Job","Easy work-from-home copy-paste job. Earn 20k-50k. Apply via WhatsApp now!","Basic computer skills, Internet access","Work from home, Easy work","Part-time","0-1 years","","Data Entry","","","2025-04-20","","CopyEasy Inc.","","","","","","https://wa.link/copypaste456","Remote","","Remote","False","https://wa.link/copypaste456","WhatsApp","Within 24 hours","","Vikas Sharma","","","₹20,000 - ₹50,000 per month","False","False","Naukri","15","False","","High","Inconsistent","False","False","0"
"Backend Process Associate","Work-from-home backend process role. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Good typing speed","Work from home, Flexible hours","Part-time","0-2 years","","Back Office","","","2025-04-19","","BackendEasy Inc.","","","","","","https://wa.link/backendprocess456","Remote","","Remote","False","https://wa.link/backendprocess456","WhatsApp","Within 24 hours","","Neha Kapoor","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","12","False","","High","Inconsistent","False","False","0"
"Email Writing Job","Work-from-home email writing job. Earn 20k-45k. Apply via WhatsApp now!","Good English skills, Basic computer knowledge","Work from home, High earnings","Part-time","0-1 years","","Data Entry","","","2025-04-18","","EmailJobs Inc.","","","","","","https://wa.link/emailwriting456","Remote","","Remote","False","https://wa.link/emailwriting456","WhatsApp","Within 24 hours","","Rohit Sharma","","","₹20,000 - ₹45,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"Social Media Associate","Work-from-home social media job. Earn 15k-40k. Flexible hours. Apply via WhatsApp now!","Smartphone with internet, Basic social media knowledge","Work from home, Flexible hours","Part-time","0-1 years","","Marketing","","","2025-04-17","","SocialJobs Inc.","","","","","","https://wa.link/socialmedia456","Remote","","Remote","False","https://wa.link/socialmedia456","WhatsApp","Within 24 hours","","Riya Patel","","","₹15,000 - ₹40,000 per month","False","False","LinkedIn","20","False","","High","Inconsistent","False","False","0"
"Assistant Supervisor","Work-from-home assistant supervisor role. Earn 25k-60k. Flexible hours. Apply via WhatsApp now!","Basic management skills, Smartphone with internet","Work from home, High earnings","Part-time","0-2 years","","Management","","","2025-04-16","","SuperviseEasy Inc.","","","","","","https://wa.link/supervisor456","Remote","","Remote","False","https://wa.link/supervisor456","WhatsApp","Within 24 hours","","Karan Mehta","","","₹25,000 - ₹60,000 per month","False","False","LinkedIn","5","False","","High","Inconsistent","False","False","0"
"Recruitment Associate","Work-from-home recruitment associate role. Earn 20k-50k. Flexible hours. Apply via WhatsApp now!","Basic recruitment knowledge, Smartphone with internet","Work from home, High earnings","Part-time","0-2 years","","Human Resources","","","2025-04-15","","RecruitEasy Inc.","","","","","","https://wa.link/recruitment456","Remote","","Remote","False","https://wa.link/recruitment456","WhatsApp","Within 24 hours","","Suman Rao","","","₹20,000 - ₹50,000 per month","False","False","LinkedIn","7","False","","High","Inconsistent","False","False","0"
"Chat Process Executive","Work-from-home chat process role. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Good communication skills, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","Customer Support","","","2025-04-14","","ChatEasy Inc.","","","","","","https://wa.link/chatprocess456","Remote","","Remote","False","https://wa.link/chatprocess456","WhatsApp","Within 24 hours","","Ankit Verma","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"Data Processing Associate","Work-from-home data processing job. Earn 20k-50k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Good typing speed","Work from home, High earnings","Part-time","0-1 years","","Data Entry","","","2025-04-13","","DataEasy Inc.","","","","","","https://wa.link/dataprocess456","Remote","","Remote","False","https://wa.link/dataprocess456","WhatsApp","Within 24 hours","","Rohit Sharma","","","₹20,000 - ₹50,000 per month","False","False","Naukri","15","False","","High","Inconsistent","False","False","0"
"Backend Work Associate","Work-from-home backend work job. Earn 15k-40k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Internet access","Work from home, Flexible hours","Part-time","0-1 years","","Back Office","","","2025-04-12","","BackendEasy Inc.","","","","","","https://wa.link/backendwork456","Remote","","Remote","False","https://wa.link/backendwork456","WhatsApp","Within 24 hours","","Pooja Sharma","","","₹15,000 - ₹40,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"HR Internship","Work-from-home HR internship. Stipend 10k-25k. Flexible hours. Apply via WhatsApp now!","Basic HR knowledge, Smartphone with internet","Work from home, Stipend","Internship","0-1 years","","Human Resources","","","2025-04-11","","HREasy Internships","","","","","","https://wa.link/hrinternship456","Remote","","Remote","False","https://wa.link/hrinternship456","WhatsApp","Within 24 hours","","Divya Sharma","","","₹10,000 - ₹25,000 stipend","False","False","LinkedIn","5","False","","High","Inconsistent","False","False","0"
"Typing Job","Work-from-home typing job. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Good typing speed, Basic computer skills","Work from home, Flexible hours","Part-time","0-1 years","","Data Entry","","","2025-04-10","","TypeEasy Inc.","","","","","","https://wa.link/typing456","Remote","","Remote","False","https://wa.link/typing456","WhatsApp","Within 24 hours","","Aman Gupta","","","₹15,000 - ₹35,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"Excel Job","Work-from-home Excel job. Earn 15k-40k. Flexible hours. Apply via WhatsApp now!","Basic Excel skills, Internet access","Work from home, Flexible hours","Part-time","0-1 years","","Data Entry","","","2025-04-09","","ExcelEasy Inc.","","","","","","https://wa.link/exceljob456","Remote","","Remote","False","https://wa.link/exceljob456","WhatsApp","Within 24 hours","","Suresh Kumar","","","₹15,000 - ₹40,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"Non-Voice Job","Work-from-home non-voice job. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Internet access","Work from home, Flexible hours","Part-time","0-1 years","","Back Office","","","2025-04-08","","NonVoiceEasy Inc.","","","","","","https://wa.link/nonvoice456","Remote","","Remote","False","https://wa.link/nonvoice456","WhatsApp","Within 24 hours","","Pooja Sharma","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"Software Developer - Fresher","Work-from-home software developer role. Earn 20k-40k. No coding experience needed. Apply via WhatsApp now!","Basic computer knowledge, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","Software Development","IT Services","","2025-05-14","","TechEasy Solutions","","","","","","https://wa.link/softwaredev123","Remote","","Remote","False","https://wa.link/softwaredev123","WhatsApp","Within 24 hours","","Ravi Sharma","","","₹20,000 - ₹40,000 per month","False","False","LinkedIn","20","False","","High","Inconsistent","False","False","0"
"IT Support Associate","Immediate joining for IT support role. Work-from-home. Salary negotiable. Apply via WhatsApp now!","Any degree, Freshers welcome","Work from home, Flexible hours","Full-time","0-2 years","Graduation Not Required","IT Support","IT Services","","2025-05-13","","Creative Hands HR","","","","","","https://wa.link/itsupport123","Chennai, Bengaluru, Hyderabad","","Remote","False","https://wa.link/itsupport123","WhatsApp","","","Priya Gupta","","","₹2,50,000 - ₹3,50,000 per annum","False","False","Naukri","10","True","","High","Inconsistent","False","False","0"
"Data Analyst - Fresher","Work-from-home data analyst role. Earn 15k-35k. No experience needed. Apply via WhatsApp now!","Basic Excel skills, Internet access","Work from home, Flexible hours","Part-time","0-1 years","","Data Analysis","Analytics / KPO","","2025-05-12","","DataEasy Analytics","","","","","","https://wa.link/dataanalyst123","Remote","","Remote","False","https://wa.link/dataanalyst123","WhatsApp","Within 24 hours","","Suresh Kumar","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","15","False","","High","Inconsistent","False","False","0"
"Tech Support Chat Associate","Work-from-home tech support chat role. Earn 20k-40k. Flexible hours. Apply via WhatsApp now!","Good communication skills, Smartphone with internet","Work from home, High earnings","Part-time","0-1 years","","Customer Support","IT Services","","2025-05-11","","SupportEasy Tech","","","","","","https://wa.link/techsupport123","Remote","","Remote","False","https://wa.link/techsupport123","WhatsApp","Within 24 hours","","Anjali Sharma","","","₹20,000 - ₹40,000 per month","False","False","LinkedIn","12","False","","High","Inconsistent","False","False","0"
"Backend Developer - Fresher","Work-from-home backend developer role. Earn 25k-50k. No coding experience needed. Apply via WhatsApp now!","Basic computer knowledge, Smartphone with internet","Work from home, High earnings","Part-time","0-1 years","","Software Development","IT Services","","2025-05-10","","BackendEasy Tech","","","","","","https://wa.link/backenddev123","Remote","","Remote","False","https://wa.link/backenddev123","WhatsApp","Within 24 hours","","Rohit Sharma","","","₹25,000 - ₹50,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"Frontend Developer - Fresher","Work-from-home frontend developer role. Earn 20k-45k. No experience needed. Apply via WhatsApp now!","Basic HTML knowledge, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","Software Development","IT Services","","2025-05-09","","FrontendEasy Tech","","","","","","https://wa.link/frontenddev123","Remote","","Remote","False","https://wa.link/frontenddev123","WhatsApp","Within 24 hours","","Pooja Sharma","","","₹20,000 - ₹45,000 per month","False","False","LinkedIn","15","False","","High","Inconsistent","False","False","0"
"Cybersecurity Analyst - Fresher","Work-from-home cybersecurity analyst role. Earn 25k-60k. No experience needed. Apply via WhatsApp now!","Basic computer skills, Smartphone with internet","Work from home, High earnings","Part-time","0-1 years","","Cybersecurity","IT Services","","2025-05-08","","CyberEasy Solutions","","","","","","https://wa.link/cybersecurity123","Remote","","Remote","False","https://wa.link/cybersecurity123","WhatsApp","Within 24 hours","","Ankit Verma","","","₹25,000 - ₹60,000 per month","False","False","LinkedIn","5","False","","High","Inconsistent","False","False","0"
"Cloud Support Associate","Work-from-home cloud support role. Earn 20k-50k. Flexible hours. Apply via WhatsApp now!","Basic computer knowledge, Smartphone with internet","Work from home, High earnings","Part-time","0-1 years","","Cloud Support","IT Services","","2025-05-07","","CloudEasy Tech","","","","","","https://wa.link/cloudsupport123","Remote","","Remote","False","https://wa.link/cloudsupport123","WhatsApp","Within 24 hours","","Suman Rao","","","₹20,000 - ₹50,000 per month","False","False","LinkedIn","7","False","","High","Inconsistent","False","False","0"
"Database Administrator - Fresher","Work-from-home database admin role. Earn 20k-45k. No experience needed. Apply via WhatsApp now!","Basic SQL knowledge, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","Database Administration","IT Services","","2025-05-06","","DBEasy Tech","","","","","","https://wa.link/databaseadmin123","Remote","","Remote","False","https://wa.link/databaseadmin123","WhatsApp","Within 24 hours","","Riya Patel","","","₹20,000 - ₹45,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"Tech Support Associate","Work-from-home tech support role. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Good communication skills, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","Customer Support","IT Services","","2025-05-05","","TechSupportEasy Inc.","","","","","","https://wa.link/techsupport456","Remote","","Remote","False","https://wa.link/techsupport456","WhatsApp","Within 24 hours","","Ankit Verma","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","15","False","","High","Inconsistent","False","False","0"
"Software Tester - Fresher","Work-from-home software tester role. Earn 20k-40k. No experience needed. Apply via WhatsApp now!","Basic computer skills, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","Software Testing","IT Services","","2025-05-04","","TestEasy Tech","","","","","","https://wa.link/softwaretest123","Remote","","Remote","False","https://wa.link/softwaretest123","WhatsApp","Within 24 hours","","Suresh Kumar","","","₹20,000 - ₹40,000 per month","False","False","Naukri","10","False","","High","Inconsistent","False","False","0"
"IT Helpdesk Associate","Work-from-home IT helpdesk role. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Basic computer knowledge, Smartphone with internet","Work from home, Flexible hours","Part-time","0-1 years","","IT Support","IT Services","","2025-05-03","","HelpdeskEasy Tech","","","","","","https://wa.link/ithelpdesk123","Remote","","Remote","False","https://wa.link/ithelpdesk123","WhatsApp","Within 24 hours","","Pooja Sharma","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","12","False","","High","Inconsistent","False","False","0"
"AI/ML Engineer - Fresher","Work-from-home AI/ML engineer role. Earn 25k-60k. No experience needed. Apply via WhatsApp now!","Basic computer skills, Smartphone with internet","Work from home, High earnings","Part-time","0-1 years","","AI/ML Engineering","IT Services","","2025-05-02","","AIEasy Tech","","","","","","https://wa.link/aimlengineer123","Remote","","Remote","False","https://wa.link/aimlengineer123","WhatsApp","Within 24 hours","","Rohit Sharma","","","₹25,000 - ₹60,000 per month","False","False","LinkedIn","5","False","","High","Inconsistent","False","False","0"
"DevOps Engineer - Fresher","Work-from-home DevOps engineer role. Earn 20k-50k. No experience needed. Apply via WhatsApp now!","Basic computer skills, Smartphone with internet","Work from home, High earnings","Part-time","0-1 years","","DevOps","IT Services","","2025-05-01","","DevOpsEasy Tech","","","","","","https://wa.link/devopsengineer123","Remote","","Remote","False","https://wa.link/devopsengineer123","WhatsApp","Within 24 hours","","Suman Rao","","","₹20,000 - ₹50,000 per month","False","False","LinkedIn","7","False","","High","Inconsistent","False","False","0"
"Backend Process Associate (Tech)","Work-from-home backend process role in tech industry. Earn 15k-35k. Flexible hours. Apply via WhatsApp now!","Basic computer skills, Good typing speed","Work from home, Flexible hours","Part-time","0-1 years","","Back Office","IT Services","","2025-04-30","","BackendEasy Tech","","","","","","https://wa.link/backendprocess456","Remote","","Remote","False","https://wa.link/backendprocess456","WhatsApp","Within 24 hours","","Neha Kapoor","","","₹15,000 - ₹35,000 per month","False","False","LinkedIn","10","False","","High","Inconsistent","False","False","0"
"Software Developer Intern","Work-from-home software developer internship. Stipend 10k-25k. Flexible hours. Apply via WhatsApp now!","Basic coding knowledge, Smartphone with internet","Work from home, Stipend","Internship","0-1 years","","Software Development","IT Services","","2025-04-29","","CodeEasy Internships","","","","","","https://wa.link/softwareintern123","Remote","","Remote","False","https://wa.link/softwareintern123","WhatsApp","Within 24 hours","","Divya Sharma","","","₹10,000 - ₹25,000 stipend","False","False","LinkedIn","5","False","","High","Inconsistent","False","False","0"
